i just got a new job	congrats! what's the job?
i'm feeling great today	nice, what's got you in a good mood?
my dog is sick	oh no, i'm sorry. is he okay?
i'm going on holiday	lucky you, where to?
i failed my exam	ah that sucks, you'll get it next time
i made dinner	nice, what did you cook?
i'm learning to code	respect, what language?
i got a puppy	amazing, what did you name it?
i'm moving house	big move, where to?
i had an argument	ugh, want to vent about it?
i won a prize	get in! what did you win?
i'm bored at work	same energy, want a distraction?
i'm reading a book	oh yeah? what's it about?
i went for a run	nice one, how far?
