what do you say when someone helps you	thank you
what do you say when you meet someone	hello
what do you say when you leave	goodbye
what do you say when you bump into someone	sorry
what do you say in the morning	good morning
what do you say before you eat	enjoy your meal
what do you say when someone sneezes	bless you
what do you say on someone's birthday	happy birthday
what do you say when someone is sad	are you okay?
what do you say to ask politely	please
what do you say at night	goodnight
what do you say when you win	well played
