i like dogs but not cats. do i like cats?	no, you said you don't like cats
i only eat fruit. can i eat an apple?	yes, an apple is fruit, so yes
i hate mornings. do i like waking up early?	no, you hate mornings, so no
i'm scared of heights. would i enjoy a tall tower?	probably not, you're scared of heights
i love spicy food. would i like a mild curry?	maybe not, you love it spicy
i don't drink coffee. would i want an espresso?	no, you don't drink coffee
i'm allergic to nuts. can i eat peanuts?	no, peanuts are nuts and you're allergic
i prefer tea to coffee. what would i pick?	tea, you prefer it to coffee
i only watch comedies. would i like a horror film?	probably not, you only watch comedies
i'm vegetarian. can i eat a steak?	no, a steak is meat and you're vegetarian
