which of these is an animal: car dog table	dog
which of these is a fruit: apple chair sun	apple
which of these is a colour: blue dog three	blue
which of these is a number: cat seven red	seven
which of these can fly: dog bird fish	bird
which of these is a shape: circle apple run	circle
which of these is hot: ice fire snow	fire
which of these is a vehicle: banana car rose	car
which of these lives in water: dog fish cat	fish
which of these is a tool: hammer apple cloud	hammer
which of these you can eat: rock apple chair	apple
which of these is a drink: bread water shoe	water
