a engine is part of a	car
what has a wing	airplane
what has a propeller	airplane
what is a stem part of	flower
what has a beak	eagle
a hoof is part of a	horse
what is a cover part of	book
what is a feather part of	eagle
what is a root part of	tree
what is a mane part of	lion
what is a petal part of	flower
what has a gill	fish
what has a branch	tree
what is a gill part of	fish
what has a mane	lion
what is a branch part of	tree
what is a beak part of	eagle
what is a fin part of	fish
a fin is part of a	fish
what is a page part of	book
what has a wheel	car
a branch is part of a	tree
a petal is part of a	flower
what has a page	book
a wheel is part of a	car
what has a root	tree
what has a bark	tree
what is a bark part of	tree
a wing is part of a	airplane
what has a petal	flower
what is a wing part of	airplane
what is a engine part of	car
what has a sail	boat
what has a cover	book
a root is part of a	tree
what is a sail part of	boat
what has a engine	car
what has a stem	flower
a beak is part of a	eagle
a feather is part of a	eagle
a bark is part of a	tree
what has a hoof	horse
a gill is part of a	fish
what is a propeller part of	airplane
what has a fin	fish
a stem is part of a	flower
what is a wheel part of	car
a sail is part of a	boat
a mane is part of a	lion
a propeller is part of a	airplane
what is a hoof part of	horse
a cover is part of a	book
what has a feather	eagle
a page is part of a	book
a blade is part of a	knife
a anchor is part of a	boat
a chimney is part of a	house
what has a blade	knife
a brick is part of a	wall
what has a roof	house
what has a brick	wall
what is a roof part of	house
a roof is part of a	house
what is a chimney part of	house
what is a handle part of	hammer
what has a chimney	house
a handle is part of a	hammer
what is a anchor part of	boat
what is a blade part of	knife
what has a handle	hammer
what has a anchor	boat
what is a spoke part of	bicycle
what has a spoke	bicycle
what is a brick part of	wall
a crust is part of a	pizza
a screen is part of a	computer
a string is part of a	guitar
a spoke is part of a	bicycle
what is a screen part of	computer
a pedal is part of a	bicycle
what has a keyboard	computer
what has a pedal	bicycle
a keyboard is part of a	computer
what is a keyboard part of	computer
what has a string	guitar
what is a pedal part of	bicycle
what has a crust	pizza
what is a string part of	guitar
