what is the capital of norway	oslo
what is the capital of thailand	bangkok
the capital of greece is	athens
what is the capital of spain	madrid
what is the capital of japan	tokyo
what is the capital of portugal	lisbon
what is the capital of canada	ottawa
what is the capital of france	paris
what is the capital of egypt	cairo
what is the capital of germany	berlin
what is the capital of italy	rome
what is the capital of china	beijing
what is the capital of greece	athens
the capital of ireland is	dublin
what is the capital of austria	vienna
the capital of thailand is	bangkok
the capital of germany is	berlin
the capital of japan is	tokyo
what is the capital of england	london
the capital of spain is	madrid
what is the capital of russia	moscow
the capital of italy is	rome
the capital of austria is	vienna
the capital of portugal is	lisbon
the capital of france is	paris
the capital of norway is	oslo
what is the capital of ireland	dublin
the capital of russia is	moscow
the capital of egypt is	cairo
the capital of england is	london
the capital of china is	beijing
the capital of canada is	ottawa
the capital of hungary is	budapest
what is the capital of peru	lima
the capital of peru is	lima
what is the capital of hungary	budapest
the capital of sweden is	stockholm
what is the capital of finland	helsinki
what is the capital of poland	warsaw
the capital of finland is	helsinki
what is the capital of cuba	havana
what is the capital of sweden	stockholm
the capital of poland is	warsaw
the capital of cuba is	havana
the capital of denmark is	copenhagen
the capital of turkey is	ankara
what is the capital of denmark	copenhagen
what is the capital of turkey	ankara
